ts,model,prompt_tok,completion_tok,total_tok,usd
2025-07-05T18:32:07Z,gpt-4.1-nano,254,32768,33022,0.09907
2025-07-05T18:32:13Z,gpt-4.1-nano,251,107,358,0.00107
2025-07-05T18:32:19Z,gpt-4.1-nano,254,107,361,0.00108
2025-07-05T18:32:33Z,gpt-4.1-nano,252,1270,1522,0.00457
2025-07-05T18:32:39Z,gpt-4.1-nano,254,119,373,0.00112
2025-07-05T18:36:07Z,gpt-4.1-nano,254,32768,33022,0.09907
2025-07-05T19:01:22Z,gpt-4.1-nano,251,107,358,0.00107
2025-07-05T19:05:21Z,gpt-4.1-nano,254,32768,33022,0.09907
2025-07-05T19:09:30Z,gpt-4.1-nano,249,32768,33017,0.09905
2025-07-05T19:13:40Z,gpt-4.1-nano,252,32768,33020,0.09906
2025-07-05T19:17:08Z,gpt-4.1-nano,249,32768,33017,0.09905
2025-07-05T19:20:33Z,gpt-4.1-nano,255,32768,33023,0.09907
2025-07-05T19:23:30Z,gpt-4.1-nano,254,32768,33022,0.09907
2025-07-05T19:27:05Z,gpt-4.1-nano,257,32768,33025,0.09907
2025-07-05T19:30:31Z,gpt-4.1-nano,254,32768,33022,0.09907
2025-07-05T19:34:25Z,gpt-4.1-nano,257,32768,33025,0.09907
2025-07-05T19:37:38Z,gpt-4.1-nano,252,32768,33020,0.09906
2025-07-05T19:41:22Z,gpt-4.1-nano,257,32768,33025,0.09907
2025-07-05T19:44:57Z,gpt-4.1-nano,254,32768,33022,0.09907
2025-07-05T19:47:53Z,gpt-4.1-nano,251,32768,33019,0.09906
2025-07-05T19:47:58Z,gpt-4.1-nano,251,107,358,0.00107
2025-07-05T19:51:47Z,gpt-4.1-nano,254,32768,33022,0.09907
2025-07-05T19:51:54Z,gpt-4.1-nano,257,326,583,0.00175
2025-07-05T19:55:17Z,gpt-4.1-nano,254,32768,33022,0.09907
2025-07-05T19:55:24Z,gpt-4.1-nano,257,326,583,0.00175
2025-07-05T19:58:49Z,gpt-4.1-nano,257,32768,33025,0.09907
2025-07-05T20:02:30Z,gpt-4.1-nano,254,32768,33022,0.09907
2025-07-05T20:02:37Z,gpt-4.1-nano,254,119,373,0.00112
2025-07-05T20:05:43Z,gpt-4.1-nano,257,32768,33025,0.09907
2025-07-05T20:08:53Z,gpt-4.1-nano,251,32768,33019,0.09906
2025-07-05T20:12:33Z,gpt-4.1-nano,249,32768,33017,0.09905
2025-07-05T20:15:49Z,gpt-4.1-nano,257,32768,33025,0.09907
2025-07-05T20:15:55Z,gpt-4.1-nano,254,119,373,0.00112
2025-07-05T20:19:01Z,gpt-4.1-nano,263,32768,33031,0.09909
2025-07-05T20:22:28Z,gpt-4.1-nano,251,32768,33019,0.09906
2025-07-05T20:25:58Z,gpt-4.1-nano,263,32768,33031,0.09909
2025-07-05T20:26:04Z,gpt-4.1-nano,254,229,483,0.00145
2025-07-05T20:26:09Z,gpt-4.1-nano,260,119,379,0.00114
2025-07-05T20:29:13Z,gpt-4.1-nano,254,32768,33022,0.09907
2025-07-05T20:29:20Z,gpt-4.1-nano,254,326,580,0.00174
2025-07-05T20:33:19Z,gpt-4.1-nano,254,32768,33022,0.09907
2025-07-05T20:36:32Z,gpt-4.1-nano,254,32768,33022,0.09907
2025-07-05T20:36:38Z,gpt-4.1-nano,254,119,373,0.00112
2025-07-05T20:37:49Z,gpt-4.1-nano,254,11874,12128,0.03638
2025-07-05T20:41:05Z,gpt-4.1-nano,257,32768,33025,0.09907
2025-07-05T20:41:10Z,gpt-4.1-nano,252,117,369,0.00111
2025-07-05T20:44:21Z,gpt-4.1-nano,249,32768,33017,0.09905
2025-07-05T20:47:20Z,gpt-4.1-nano,257,32768,33025,0.09907
2025-07-05T20:50:01Z,gpt-4.1-nano,257,32768,33025,0.09907
2025-07-05T20:53:06Z,gpt-4.1-nano,249,32768,33017,0.09905
2025-07-05T20:56:10Z,gpt-4.1-nano,254,32768,33022,0.09907
2025-07-05T20:59:19Z,gpt-4.1-nano,257,32768,33025,0.09907
2025-07-05T21:02:42Z,gpt-4.1-nano,252,32768,33020,0.09906
2025-07-05T21:06:25Z,gpt-4.1-nano,257,32768,33025,0.09907
2025-07-05T21:10:11Z,gpt-4.1-nano,254,32768,33022,0.09907
2025-07-05T21:13:11Z,gpt-4.1-nano,257,32768,33025,0.09907
2025-07-05T21:13:18Z,gpt-4.1-nano,254,353,607,0.00182
2025-07-05T21:16:49Z,gpt-4.1-nano,263,32768,33031,0.09909
2025-07-05T21:20:03Z,gpt-4.1-nano,254,32768,33022,0.09907
2025-07-05T21:23:20Z,gpt-4.1-nano,251,32768,33019,0.09906
2025-07-05T21:26:08Z,gpt-4.1-nano,255,32768,33023,0.09907
2025-07-05T21:29:30Z,gpt-4.1-nano,254,32768,33022,0.09907
