ts,model,prompt_tok,completion_tok,total_tok,usd
2025-07-07T14:42:30Z,gpt-4.1-nano,960,795,1755,0.00526
2025-07-07T14:42:42Z,gpt-4.1-nano,954,795,1749,0.00525
2025-07-07T14:42:51Z,gpt-4.1-nano,951,795,1746,0.00524
2025-07-07T14:43:03Z,gpt-4.1-nano,963,795,1758,0.00527
2025-07-07T14:43:12Z,gpt-4.1-nano,948,794,1742,0.00523
2025-07-07T14:43:26Z,gpt-4.1-nano,954,1000,1954,0.00586
2025-07-07T14:43:35Z,gpt-4.1-nano,951,795,1746,0.00524
2025-07-07T14:43:44Z,gpt-4.1-nano,957,794,1751,0.00525
2025-07-07T14:43:52Z,gpt-4.1-nano,945,794,1739,0.00522
2025-07-07T14:44:03Z,gpt-4.1-nano,954,794,1748,0.00524
2025-07-07T14:44:12Z,gpt-4.1-nano,951,864,1815,0.00545
2025-07-07T14:44:23Z,gpt-4.1-nano,954,794,1748,0.00524
2025-07-07T14:44:33Z,gpt-4.1-nano,948,794,1742,0.00523
2025-07-07T14:44:54Z,gpt-4.1-nano,951,795,1746,0.00524
2025-07-07T14:45:04Z,gpt-4.1-nano,951,795,1746,0.00524
2025-07-07T14:45:12Z,gpt-4.1-nano,957,794,1751,0.00525
2025-07-07T14:45:20Z,gpt-4.1-nano,957,794,1751,0.00525
2025-07-07T14:45:28Z,gpt-4.1-nano,951,795,1746,0.00524
2025-07-07T14:45:35Z,gpt-4.1-nano,963,794,1757,0.00527
2025-07-07T14:45:42Z,gpt-4.1-nano,945,795,1740,0.00522
2025-07-07T14:45:52Z,gpt-4.1-nano,951,795,1746,0.00524
2025-07-07T14:46:01Z,gpt-4.1-nano,957,794,1751,0.00525
2025-07-07T14:46:09Z,gpt-4.1-nano,957,794,1751,0.00525
2025-07-07T14:46:19Z,gpt-4.1-nano,957,1000,1957,0.00587
2025-07-07T14:46:26Z,gpt-4.1-nano,948,801,1749,0.00525
2025-07-07T14:46:38Z,gpt-4.1-nano,954,1000,1954,0.00586
2025-07-07T14:46:47Z,gpt-4.1-nano,951,794,1745,0.00524
2025-07-07T14:46:58Z,gpt-4.1-nano,948,885,1833,0.00550
2025-07-07T14:47:06Z,gpt-4.1-nano,954,794,1748,0.00524
2025-07-07T14:47:15Z,gpt-4.1-nano,951,795,1746,0.00524
2025-07-07T14:47:26Z,gpt-4.1-nano,951,802,1753,0.00526
2025-07-07T14:47:34Z,gpt-4.1-nano,951,795,1746,0.00524
2025-07-07T14:47:43Z,gpt-4.1-nano,945,794,1739,0.00522
2025-07-07T14:47:56Z,gpt-4.1-nano,951,816,1767,0.00530
2025-07-07T14:48:06Z,gpt-4.1-nano,948,794,1742,0.00523
2025-07-07T14:48:17Z,gpt-4.1-nano,954,794,1748,0.00524
2025-07-07T14:48:25Z,gpt-4.1-nano,942,794,1736,0.00521
2025-07-07T14:48:35Z,gpt-4.1-nano,957,794,1751,0.00525
2025-07-07T14:48:43Z,gpt-4.1-nano,948,794,1742,0.00523
2025-07-07T14:48:52Z,gpt-4.1-nano,948,794,1742,0.00523
2025-07-07T14:49:00Z,gpt-4.1-nano,951,816,1767,0.00530
2025-07-07T14:49:08Z,gpt-4.1-nano,963,794,1757,0.00527
2025-07-07T14:49:16Z,gpt-4.1-nano,957,795,1752,0.00526
2025-07-07T14:49:24Z,gpt-4.1-nano,963,795,1758,0.00527
2025-07-07T14:49:32Z,gpt-4.1-nano,957,794,1751,0.00525
2025-07-07T14:49:43Z,gpt-4.1-nano,963,794,1757,0.00527
2025-07-07T14:49:52Z,gpt-4.1-nano,954,794,1748,0.00524
2025-07-07T14:50:01Z,gpt-4.1-nano,954,794,1748,0.00524
2025-07-07T14:50:11Z,gpt-4.1-nano,945,783,1728,0.00518
2025-07-07T14:50:23Z,gpt-4.1-nano,957,1000,1957,0.00587
2025-07-07T14:50:32Z,gpt-4.1-nano,945,816,1761,0.00528
2025-07-07T14:50:40Z,gpt-4.1-nano,945,795,1740,0.00522
2025-07-07T14:50:51Z,gpt-4.1-nano,945,794,1739,0.00522
2025-07-07T14:51:02Z,gpt-4.1-nano,963,794,1757,0.00527
2025-07-07T14:51:13Z,gpt-4.1-nano,951,794,1745,0.00524
2025-07-07T14:51:22Z,gpt-4.1-nano,945,794,1739,0.00522
2025-07-07T14:51:31Z,gpt-4.1-nano,945,794,1739,0.00522
2025-07-07T14:51:41Z,gpt-4.1-nano,951,794,1745,0.00524
2025-07-07T14:51:51Z,gpt-4.1-nano,963,794,1757,0.00527
2025-07-07T14:51:59Z,gpt-4.1-nano,942,794,1736,0.00521
2025-07-07T14:52:06Z,gpt-4.1-nano,948,794,1742,0.00523
2025-07-07T14:52:15Z,gpt-4.1-nano,936,794,1730,0.00519
2025-07-07T14:52:23Z,gpt-4.1-nano,957,794,1751,0.00525
2025-07-07T14:52:30Z,gpt-4.1-nano,957,794,1751,0.00525
